,OBJECTID,IDPOINT,NCN,NCE,Hnorm,Z,DS,DM,geometry,index_right,OBJECTID_1,NG,EG,g,H,B,L,geometry_right
146,33305,33353,385500.0,333300.0,115.48786671663476,1.906582704020919,31712.301066924792,1906.5827040209188,POINT (333300.00000000093 385500),94,1027,386122.219892,333612.152581,981184.1799425916,120.62142950410635,51.31738754843907,16.611582450968836,POINT (333612.1525810007 386122.21989200264)
147,33306,33354,385500.0,334300.0,123.40758416741326,1.905765204315879,31695.483842497004,1905.7652043158791,POINT (334300.00000000093 385500),94,1027,386122.219892,333612.152581,981184.1799425916,120.62142950410635,51.31738754843907,16.611582450968836,POINT (333612.1525810007 386122.21989200264)
148,33307,33355,385500.0,335300.0,112.0,1.904949568353157,31678.662701552374,1904.9495683531575,POINT (335300.00000000093 385500),15,492,384846.71305,335531.50951,981182.4659184073,121.81905047023898,51.30648286182651,16.639697187973717,POINT (335531.5095100021 384846.71305000037)
157,33509,33557,386500.0,314300.0,124.37817561627162,1.892500003540841,31858.938567138764,1892.5000035408407,POINT (314300.00000000186 386500),6,474,387279.46757,314138.224572,981189.6437540031,128.2747034462027,51.32175445109694,16.33174824339693,POINT (314138.22457200196 387279.46756999753)
157,33509,33557,386500.0,314300.0,124.37817561627162,1.892500003540841,31858.938567138764,1892.5000035408407,POINT (314300.00000000186 386500),10,478,387324.557688,313957.934945,981189.6067446957,129.0,51.32210061900131,16.329139457037584,POINT (313957.93494500127 387324.55768800154)
158,33510,33558,386500.0,315300.0,114.78856436820142,1.893834621436026,31853.73443293211,1893.8346214360263,POINT (315300.00000000186 386500),5,473,385754.249207,315111.6073,981190.3128793421,127.414085726517,51.308367637233175,16.346497328037177,POINT (315111.6073000012 385754.2492070012)
158,33510,33558,386500.0,315300.0,114.78856436820142,1.893834621436026,31853.73443293211,1893.8346214360263,POINT (315300.00000000186 386500),106,1040,386395.496244,315555.110455,981190.4366189984,120.32948686031715,51.31427328836618,16.352523358880163,POINT (315555.1104550008 386395.49624400213)
159,33511,33559,386500.0,316300.0,107.95004371789365,1.89516871484962,31848.500272224504,1895.16871484962,POINT (316300.00000000186 386500),106,1040,386395.496244,315555.110455,981190.4366189984,120.32948686031715,51.31427328836618,16.352523358880163,POINT (315555.1104550008 386395.49624400213)
163,33515,33563,386500.0,320300.0,97.98977917399498,1.899342691810307,31820.63038845051,1899.3426918103066,POINT (320300.00000000186 386500),111,1045,387445.445101,320030.802701,981191.5184958668,93.93468035225948,51.32514161629385,16.41616502681283,POINT (320030.80270100106 387445.44510100037)
164,33516,33564,386500.0,321300.0,105.20348477857988,1.89989902573401,31810.806215137858,1899.8990257340106,POINT (321299.99999999907 386500),117,1141,386189.951072,321760.680966,981191.0425829068,92.08525876043859,51.31440508937169,16.441602407009,POINT (321760.6809660001 386189.9510720037)
165,33517,33565,386500.0,322300.0,97.48966977123808,1.900455670759655,31800.96057770162,1900.4556707596548,POINT (322299.99999999907 386500),117,1141,386189.951072,321760.680966,981191.0425829068,92.08525876043859,51.31440508937169,16.441602407009,POINT (321760.6809660001 386189.9510720037)
167,33519,33567,386500.0,324300.0,98.41930981761834,1.901569921343482,31781.205939593558,1901.569921343482,POINT (324300 386500),128,1154,386192.197718,324729.941514,981189.5090048098,100.41130616347675,51.31534813652941,16.484176765065964,POINT (324729.9415140003 386192.19771800004)
168,33520,33568,386500.0,325300.0,105.60616866910291,1.902127540516331,31771.297453558178,1902.1275405163315,POINT (325300 386500),128,1154,386192.197718,324729.941514,981189.5090048098,100.41130616347675,51.31534813652941,16.484176765065964,POINT (324729.9415140003 386192.19771800004)
169,33521,33569,386500.0,326300.0,96.0,1.902311557871407,31759.343987005283,1902.3115578714069,POINT (326300 386500),121,1145,385732.80994,326356.47552199994,981188.8507334571,102.15257052869708,51.3117189651748,16.507723990071945,POINT (326356.4755220013 385732.80994000286)
176,33528,33576,386500.0,333300.0,125.77183470052842,1.900831665725529,31660.383033571896,1900.831665725529,POINT (333300.00000000093 386500),94,1027,386122.219892,333612.152581,981184.1799425916,120.62142950410635,51.31738754843907,16.611582450968836,POINT (333612.1525810007 386122.21989200264)
177,33529,33577,386500.0,334300.0,129.2103790790062,1.900025538243313,31643.347523198816,1900.0255382433131,POINT (334300.00000000093 386500),93,1026,387130.55528,335047.998463,981183.4408956133,112.99645179792219,51.32686780482194,16.631707446488274,POINT (335047.9984630011 387130.55528)
177,33529,33577,386500.0,334300.0,129.2103790790062,1.900025538243313,31643.347523198816,1900.0255382433131,POINT (334300.00000000093 386500),94,1027,386122.219892,333612.152581,981184.1799425916,120.62142950410635,51.31738754843907,16.611582450968836,POINT (333612.1525810007 386122.21989200264)
178,33530,33578,386500.0,335300.0,110.0,1.899221275507557,31626.308087277397,1899.221275507557,POINT (335300.00000000093 386500),93,1026,387130.55528,335047.998463,981183.4408956133,112.99645179792219,51.32686780482194,16.631707446488274,POINT (335047.9984630011 387130.55528)
184,33729,33777,387500.0,311300.0,127.26705138278157,1.88248059893946,31828.904262180833,1882.48059893946,POINT (311300.00000000093 387500),16,919,387640.714076,312035.884181,981188.7050245022,130.32886060110718,51.324309039941895,16.30141194710166,POINT (312035.8841810003 387640.71407600306)
185,33730,33778,387500.0,312300.0,134.0,1.884232461437529,31826.025410257538,1884.2324614375295,POINT (312300.00000000093 387500),16,919,387640.714076,312035.884181,981188.7050245022,130.32886060110718,51.324309039941895,16.30141194710166,POINT (312035.8841810003 387640.71407600306)
186,33731,33779,387500.0,313300.0,130.89710260684296,1.885545634255922,31820.345834638752,1885.5456342559219,POINT (313300.00000000093 387500),6,474,387279.46757,314138.224572,981189.6437540031,128.2747034462027,51.32175445109694,16.33174824339693,POINT (314138.22457200196 387279.46756999753)
186,33731,33779,387500.0,313300.0,130.89710260684296,1.885545634255922,31820.345834638752,1885.5456342559219,POINT (313300.00000000093 387500),10,478,387324.557688,313957.934945,981189.6067446957,129.0,51.32210061900131,16.329139457037584,POINT (313957.93494500127 387324.55768800154)
187,33732,33780,387500.0,314300.0,126.0,1.886858255120502,31814.635574329794,1886.8582551205022,POINT (314300.00000000186 387500),6,474,387279.46757,314138.224572,981189.6437540031,128.2747034462027,51.32175445109694,16.33174824339693,POINT (314138.22457200196 387279.46756999753)
